nama,nik,no_hp,email,alamat,gaji,npwp
Ir. Puput Novitasari,7162211308999182,082280407067,ir..puput.novitasari951@hotmail.com,"Jalan Rumah Sakit No. 0, Tual, Sumatera Utara 28500",Rp 20.000.000,92.976.799.3-552.719
Wahyu Mangunsong,7329101102725227,082111317633,wahyu.mangunsong@outlook.com,"Gang Kutisari Selatan No. 079, Kupang, Sulawesi Tengah 33304",Rp 6.500.000,66.715.625.3-599.786
Galak Halim,2506860303710071,089912651412,galak.halim936@mail.id,"Jl. K.H. Wahid Hasyim No. 977, Pontianak, BA 00405",Rp 11.000.000,26.286.103.9-259.886
Intan Nasyidah,7988051302988760,081356561393,intan.nasyidah34@perusahaan.co.id,"Gang Tubagus Ismail No. 181, Palopo, Jawa Barat 65010",Rp 20.000.000,37.650.652.8-858.575
Puti Adriansyah,7134962201856331,085695472690,puti.adriansyah23@kantor.com,"Jalan Gegerkalong Hilir No. 779, Probolinggo, SR 96823",Rp 4.500.000,83.769.743.8-372.791
"Jumari Pradipta, S.E.I",2286761002903792,081407490496,"jumari.pradipta,.s.e.i73@hotmail.com","Jalan Veteran No. 163, Kediri, PB 78199",Rp 6.000.000,66.380.924.2-944.306
"Heru Gunarto, M.M.",3977053110728185,089926382977,"heru.gunarto,.m.m.18@gmail.com","Jalan Peta No. 911, Pasuruan, MA 86781",Rp 14.000.000,79.241.866.6-898.373
Karen Anggraini,2502072207006040,081310022657,karen.anggraini748@hotmail.com,"Jl. Pasirkoja No. 449, Kendari, Sulawesi Selatan 86859",Rp 11.000.000,73.717.169.9-415.645
Eja Uwais,4045042106944580,085760160098,eja.uwais363@mail.id,"Gg. Gedebage Selatan No. 60, Surakarta, Bengkulu 74578",Rp 30.000.000,50.946.891.7-783.767
Jamalia Najmudin,4020412211725036,081778214848,jamalia.najmudin@yahoo.co.id,"Jalan Veteran No. 824, Surakarta, Sumatera Utara 44539",Rp 4.500.000,45.453.353.4-675.485
"Arta Zulkarnain, S.Farm",1724440107778934,087727015341,"arta.zulkarnain,.s.farm16@perusahaan.co.id","Gg. Pasteur No. 646, Kota Administrasi Jakarta Timur, LA 85300",Rp 6.500.000,60.820.837.1-438.508
Salsabila Anggriawan,8282771908871271,082363750831,salsabila.anggriawan@mail.id,"Jalan Sentot Alibasa No. 508, Padangpanjang, Nusa Tenggara Barat 19138",Rp 6.500.000,21.191.245.6-844.205
"Hendri Pratiwi, S.Gz",5334341304771054,085385220896,"hendri.pratiwi,.s.gz140@outlook.com","Jl. M.H Thamrin No. 00, Mataram, Kalimantan Timur 66354",Rp 8.000.000,74.287.158.8-137.878
"dr. Elvin Haryanti, S.Sos",5178612712741052,081547473579,"dr..elvin.haryanti,.s.sos120@mail.id","Jl. Cempaka No. 736, Kupang, Bali 68155",Rp 5.000.000,23.417.298.5-475.769
KH. Karya Najmudin,3272872409003732,087712604342,kh..karya.najmudin@outlook.com,"Jalan Antapani Lama No. 3, Pariaman, SB 43161",Rp 6.000.000,27.303.556.7-831.638
Akarsana Adriansyah,2275291102887549,082146866319,akarsana.adriansyah254@mail.id,"Gg. Veteran No. 66, Jambi, KI 20802",Rp 12.000.000,29.140.394.2-523.858
"Wardi Tarihoran, S.T.",9649791108750176,085615062240,"wardi.tarihoran,.s.t.129@hotmail.com","Gang Sukajadi No. 65, Sibolga, Bengkulu 87391",Rp 5.500.000,50.866.973.5-747.753
"Cawuk Mahendra, S.Sos",2581173003853626,089693016252,"cawuk.mahendra,.s.sos428@gmail.com","Jalan Asia Afrika No. 44, Kota Administrasi Jakarta Barat, Bengkulu 87789",Rp 7.500.000,53.826.499.5-524.700
"Maida Widodo, M.Farm",8112671411915513,085222668194,"maida.widodo,.m.farm656@mail.id","Jalan Dipatiukur No. 0, Pekanbaru, KR 72631",Rp 10.000.000,37.782.684.2-416.190
Bancar Hutagalung,5729433009816271,085221466914,bancar.hutagalung@yahoo.co.id,"Jl. Ahmad Yani No. 9, Bau-Bau, Kepulauan Bangka Belitung 20174",Rp 10.000.000,26.717.840.1-604.902
Cagak Halim,4633102712019582,089527594753,cagak.halim@hotmail.com,"Jl. Kebonjati No. 43, Jayapura, SR 92247",Rp 6.000.000,82.380.745.1-490.131
